call_no,incident_type,type_description,address,alarm_time,alarms,primary_unit,census_tract,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
F150078191,161,Outside storage fire,"00 BLOCK VESPUCIUS ST, PITTSBURGH PA 15207",2015-10-04T01:12:25,0,231EN13,1501,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.40128611,-79.94081243
F150078210,131,Passenger vehicle fire,"400 BLOCK ELLA ST, PITTSBURGH PA 15221",2015-10-04T04:18:38,0,231EN16,NA,Bloomfield,7,8,42003080200,2,8,5,1-Mar,40.46191839,-79.95291281
F170078716,142,Brush or brush-and-grass mixture fire,"S FAIRMOUNT ST & FRIENDSHIP A, PITTSBURGH PA 15206",2017-09-23T04:22:43,0,231EN08,807,Friendship,7,8,42003080700,2,8,5,23-Mar,40.46130116,-79.93415753
F170078773,118,"Trash or rubbish fire, contained","1100 BLOCK W CARSON ST, PITTSBURGH PA 15203",2017-09-23T11:47:41,1,231EN24,1921,South Side Flats,3,17,42003170200,4,17,3,24-Apr,40.42856797,-79.98731788
F150078218,150,"Outside rubbish fire, Other","00 BLOCK VESPUCIUS ST, PITTSBURGH PA 15207",2015-10-04T07:14:16,0,231EN13,1501,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.40128611,-79.94081243
F170008303,111,Building fire,"3200 BLOCK JOE HAMMER SQ, PITTSBURGH PA 15213",2017-01-29T19:42:31,3,231EN10,409,South Oakland,3,4,42003040900,3,4,4,10-Feb,40.43463567,-79.96183805
F160080388,111,Building fire,"200 BLOCK PRINGLE ST, PITTSBURGH PA 15206",2016-10-08T12:07:05,1,231EN29,2805,East Carnegie,2,28,42003562800,5,28,6,19-Jan,40.41722935,-80.07327365
F170078812,154,Dumpster or other outside trash receptacle fire,"4800 BLOCK BUTLER ST, PITTSBURGH PA 15201",2017-09-23T14:02:08,0,231EN07,901,Central Lawrenceville,7,9,42003981000,2,9,2,5-Mar,40.47588907,-79.95756635
F170078835,140,"Natural vegetation fire, Other","1300 BLOCK FORBES AVE, PITTSBURGH PA 15219",2017-09-23T15:52:41,0,231EN04,103,Bluff,6,1,42003010300,3,1,2,4-Feb,40.43775414,-79.98830455
F150078226,116,"Fuel burner/boiler malfunction, fire confined","7700 BLOCK MULFORD ST, PITTSBURGH PA 15208",2015-10-04T08:24:23,1,231EN17,1304,Homewood South,9,13,42003130400,2,13,5,17-Mar,40.45190221,-79.88948497
F150078385,113,"Cooking fire, confined to container","400 BLOCK WILLIAM ST, PITTSBURGH PA 15211",2015-10-04T20:45:42,1,231EN27,1914,Mount Washington,2,19,42003191400,5,19,3,5-Apr,40.42806138,-80.00342259
F150078420,151,"Outside rubbish, trash or waste fire","REEDSDALE ST & TONY DORSETT, PITTSBURGH PA 15212",2015-10-05T01:26:33,0,231EN37,2205,North Shore,1,22,42003981200,6,22,1,7-Jan,40.44824989,-80.01050155
F150078423,111,Building fire,"1500 BLOCK ECKERT ST, PITTSBURGH PA 15212",2015-10-05T02:11:12,1,231EN35,2715,Marshall-Shadeland,1,27,42003271500,1,27,1,14-Jan,40.47143042,-80.03374978
F150078551,111,Building fire,"00 BLOCK 18TH ST, PITTSBURGH PA 15222",2015-10-05T12:35:27,1,231EN03,203,Strip District,7,2,42003020300,6,2,2,3-Feb,40.4510475,-79.98565875
F150078612,111,Building fire,"1600 BLOCK WESTMONT AVE, PITTSBURGH PA 15210",2015-10-05T16:23:54,1,231EN23,2901,Carrick,4,29,42003290100,4,29,3,23-Apr,40.39976855,-79.99058857
F130055870,150,"Outside rubbish fire, Other","DENNISTON AVE & NORTHUMBERL, PITTSBURGH PA 15217",2013-08-03T22:17:33,0,231EN18,1403,,,,,,,,18-Feb,,
F140068828,150,"Outside rubbish fire, Other","MARLAND ST & IBIS WAY, PITTSBURGH PA 15210",2014-09-23T23:45:52,0,231EN23,3001,Knoxville,3,30,42003300100,4,30,3,7-Apr,40.4120334,-79.9902473
F150079000,116,"Fuel burner/boiler malfunction, fire confined","1300 BLOCK OAKMONT ST, PITTSBURGH PA 15205",2015-10-07T03:22:46,1,231EN29,2815,Crafton Heights,2,28,42003281500,5,28,6,18-Jan,40.43992672,-80.05613003
F150079109,113,"Cooking fire, confined to container","400 BLOCK SYLVANIA AVE, PITTSBURGH PA 15211",2015-10-07T11:46:52,1,231EN27,1809,Beltzhoover,3,18,42003562400,4,18,3,21-Apr,40.41724958,-80.00027337
F150079191,150,"Outside rubbish fire, Other","1900 BLOCK ST IVES ST, PITTSBURGH PA 15233",2015-10-07T16:48:56,0,231EN37,2507,California-Kirkbride,6,21,42003250700,1,21,1,9-Jan,40.45948209,-80.02264548
F150079651,111,Building fire,"6200 BLOCK AUBURN ST, PITTSBURGH PA 15206",2015-10-09T01:17:26,1,231EN15,1208,Larimer,9,12,42003120800,2,12,5,10-Mar,40.46634711,-79.91665042
F150079821,113,"Cooking fire, confined to container","1000 BLOCK SHEFFIELD ST, PITTSBURGH PA 15233",2015-10-09T15:48:35,1,231EN37,2107,Manchester,6,22,42003210700,1,22,1,8-Jan,40.45410332,-80.01979575
F150079993,160,"Special outside fire, Other","2300 BLOCK CRESTVIEW RD, PITTSBURGH PA 15226",2015-10-10T11:19:49,0,231EN28,2023,Banksville,2,20,42003202300,5,20,6,9-Apr,40.40609178,-80.04211434
F150080044,111,Building fire,"7400 BLOCK PENN AVE, PITTSBURGH PA 15235",2015-10-10T15:04:16,2,231402,1405,Point Breeze,9,14,42003140600,3,14,4,14-Mar,40.44809391,-79.8982055
F150080302,118,"Trash or rubbish fire, contained","BATES ST & ATWOOD ST, PITTSBURGH PA 15213",2015-10-11T13:21:33,1,231EN10,405,Central Oakland,3,4,42003040600,3,4,4,11-Feb,40.4381175,-79.95392949
F150080634,154,Dumpster or other outside trash receptacle fire,"WELFER ST & WINDSOR ST, PITTSBURGH PA 15217",2015-10-12T16:31:54,0,231EN12,1517,Greenfield,5,15,42003151700,3,15,4,15-Feb,40.42516152,-79.92904982
F140053223,130,"Mobile property (vehicle) fire, Other","3400 BLOCK FLEMING AVE, PITTSBURGH PA 15212",2014-07-25T23:22:08,0,231EN35,2703,Brighton Heights,1,27,42003270300,1,27,1,14-Jan,40.47698002,-80.03815717
F150080737,113,"Cooking fire, confined to container","900 BLOCK TURTLE WAY, PITTSBURGH PA 15212",2015-10-13T00:26:38,1,231EN32,2304,East Allegheny,1,23,42003563200,1,23,1,5-Jan,40.45587429,-79.99682032
F150080917,113,"Cooking fire, confined to container","300 BLOCK E NORTH AVE, PITTSBURGH PA 15212",2015-10-13T15:24:21,1,231EN32,2206,Central Northside,1,22,42003220600,1,22,1,21-Jan,40.45494869,-80.00964027
F150081032,131,Passenger vehicle fire,"1100 BLOCK S AVE, PITTSBURGH PA 15221",2015-10-14T02:16:29,1,231EN16,NA,,,,42003561000,,,,21-Mar,40.43967768,-79.87859234
F140053229,131,Passenger vehicle fire,"NB OHIO RIVER BLVD & CALIFO, PITTSBURGH PA 15212",2014-07-25T23:47:02,0,231EN37,2704,,,,,,,,14-Jan,,
F150081268,111,Building fire,"600 BLOCK N ST CLAIR ST, PITTSBURGH PA 15206",2015-10-14T21:43:06,1,231EN08,1113,East Liberty,9,11,42003111300,2,11,5,8-Mar,40.46803801,-79.92510035
F150081436,154,Dumpster or other outside trash receptacle fire,"FEDERAL ST & E NORTH AVE, PITTSBURGH PA 15212",2015-10-15T12:40:16,0,231EN37,2204,Allegheny Center,1,22,42003562700,1,22,1,21-Jan,40.45544902,-80.00663235
F150081846,111,Building fire,"100 BLOCK WABASH ST, PITTSBURGH PA 15220",2015-10-16T18:28:41,1,231EN30,2019,West End,2,20,42003562600,5,20,6,17-Jan,40.43821952,-80.03461426
F150081952,113,"Cooking fire, confined to container","300 BLOCK S HIGHLAND AVE, PITTSBURGH PA 15206",2015-10-17T05:15:29,1,231EN08,705,Shadyside,8,7,42003070600,2,7,4,11-Mar,40.45705759,-79.92513997
F150082029,118,"Trash or rubbish fire, contained","COSTAR WAY & WELLESLEY AVE, PITTSBURGH PA 15206",2015-10-17T12:12:17,1,231EN08,1102,Highland Park,7,11,42003110200,2,11,5,9-Mar,40.47351115,-79.9229008
F150082124,118,"Trash or rubbish fire, contained","7300 BLOCK IDLEWILD ST, PITTSBURGH PA 15208",2015-10-17T19:30:00,1,231EN17,1302,Homewood North,9,13,42003130200,2,13,5,17-Mar,40.45749625,-79.89378081
F150082178,111,Building fire,"700 BLOCK LORENZ AVE, PITTSBURGH PA 15220",2015-10-18T00:22:43,1,231EN30,2020,Elliott,2,20,42003562600,5,20,6,17-Jan,40.44511005,-80.03924654
F150082215,113,"Cooking fire, confined to container","5500 BLOCK HOWE ST, PITTSBURGH PA 15206",2015-10-18T03:52:32,1,231EN08,703,Shadyside,8,7,42003070300,2,7,4,22-Mar,40.45015579,-79.93312844
F150082295,113,"Cooking fire, confined to container","2900 BLOCK N CHARLES ST, PITTSBURGH PA 15214",2015-10-18T12:57:33,1,231EN38,2615,Perry South,6,26,42003261400,1,26,1,23-Jan,40.47045985,-80.01113783
F150082296,111,Building fire,"N BRADDOCK AVE & TIOGA ST, PITTSBURGH PA 15208",2015-10-18T13:01:23,2,231EN17,1303,Homewood South,9,13,42003130400,2,13,5,17-Mar,40.45196886,-79.89163849
F150082485,111,Building fire,"300 BLOCK FRANKLIN AVE, PITTSBURGH PA 15221",2015-10-19T09:24:23,1,231EN16,NA,,,,42003560400,,,,16-Mar,40.44314171,-79.89184828
F150082514,113,"Cooking fire, confined to container","100 BLOCK WHIPPLE ST, PITTSBURGH PA 15218",2015-10-19T11:17:29,1,231EN19,1411,Swisshelm Park,5,14,42003141100,3,14,4,19-Feb,40.41968144,-79.90175723
F150082536,113,"Cooking fire, confined to container","1800 BLOCK SWISSVALE AVE, PITTSBURGH PA 15221",2015-10-19T12:16:11,1,231EN16,NA,,,,42003561100,,,,20-Mar,40.44759062,-79.87439851
F150082663,111,Building fire,"1000 BLOCK N HOMEWOOD AVE, PITTSBURGH PA 15208",2015-10-19T20:22:32,1,231EN17,1302,Homewood North,9,13,42003130200,2,13,5,17-Mar,40.45816801,-79.89592349
F150082665,111,Building fire,"300 BLOCK MT PLEASANT RD, PITTSBURGH PA 15212",2015-10-19T20:24:08,1,231EN38,2609,Northview Heights,1,26,42003260900,1,26,1,13-Jan,40.48235135,-80.00304348
F150082673,113,"Cooking fire, confined to container","2200 BLOCK WILNER DR, PITTSBURGH PA 15208",2015-10-19T20:51:58,1,231EN18,1306,East Hills,9,13,42003130600,2,13,5,19-Mar,40.45338758,-79.86682966
F150082941,113,"Cooking fire, confined to container","6100 BLOCK MEADOW ST, PITTSBURGH PA 15206",2015-10-20T19:33:03,1,2314112,1208,Larimer,9,12,42003120400,2,12,5,12-Mar,40.46277485,-79.91160664
F150082952,150,"Outside rubbish fire, Other","600 BLOCK SMITHFIELD ST, PITTSBURGH PA 15226",2015-10-20T20:23:19,0,231EN03,201,Central Business District,6,2,42003020100,6,2,2,3-Jan,40.44152525,-79.99740551
F150082961,111,Building fire,"1400 BLOCK PITT ST, PITTSBURGH PA 15221",2015-10-20T21:14:49,1,231EN16,1304,,,,42003561200,,,,16-Mar,40.44765918,-79.88540716
F150082964,118,"Trash or rubbish fire, contained","7100 BLOCK MONTICELLO ST, PITTSBURGH PA 15216",2015-10-20T21:23:06,1,231EN18,1302,Homewood North,9,13,42003130200,2,13,5,17-Mar,40.45996066,-79.8976539
F150082999,113,"Cooking fire, confined to container","5600 BLOCK PENN AVE, PITTSBURGH PA 15206",2015-10-21T03:07:55,1,231TK08,1115,East Liberty,9,8,42003111500,2,8,5,23-Mar,40.46301193,-79.93027491
F160080533,113,"Cooking fire, confined to container","400 BLOCK KAMBACH ST, PITTSBURGH PA 15211",2016-10-09T02:50:53,1,231EN27,1807,Mount Washington,3,18,42003180700,4,18,3,5-Apr,40.42607286,-79.99978506
F160080744,111,Building fire,"1500 BLOCK SUPERIOR AVE, PITTSBURGH PA 15212",2016-10-09T23:53:23,1,231EN35,2715,Marshall-Shadeland,1,27,42003271500,1,27,1,14-Jan,40.467,-80.0318933
F150083135,142,Brush or brush-and-grass mixture fire,"1600 BLOCK KIRALFY AVE, PITTSBURGH PA 15216",2015-10-21T12:37:45,0,231EN28,1920,Beechview,4,19,42003192000,5,19,6,28-Apr,40.409627,-80.02184559
F150083188,154,Dumpster or other outside trash receptacle fire,"300 BLOCK MCKINLEY ST, PITTSBURGH PA 15210",2015-10-21T15:17:20,0,231EN23,3001,Knoxville,3,30,42003300100,4,30,3,7-Apr,40.40909449,-79.99396625
F150083244,111,Building fire,"5700 BLOCK 5TH AVE, PITTSBURGH PA 15232",2015-10-21T17:58:55,3,231EN18,1402,Squirrel Hill North,8,14,42003140200,3,14,4,17-Feb,40.44953039,-79.92902008
F150083646,160,"Special outside fire, Other","1500 BLOCK FALLOWFIELD AVE, PITTSBURGH PA 15216",2015-10-22T21:53:18,0,231EN28,1916,Beechview,4,19,42003191600,5,19,6,28-Apr,40.41285782,-80.02417657
F150083829,116,"Fuel burner/boiler malfunction, fire confined","6400 BLOCK DEARY ST, PITTSBURGH PA 15206",2015-10-23T14:30:01,1,231EN15,1203,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,15-Mar,40.46777347,-79.90714464
F150083917,113,"Cooking fire, confined to container","800 BLOCK BOGGS AVE, PITTSBURGH PA 15211",2015-10-23T19:11:53,1,231EN27,1915,Mount Washington,4,19,42003191500,5,19,3,27-Apr,40.41848978,-80.01241167
F150078275,111,Building fire,"2400 BLOCK WOODWARD AVE, PITTSBURGH PA 15216",2015-10-04T12:03:01,1,231EN26,1919,Brookline,4,19,42003191900,4,19,6,26-Apr,40.4000168,-80.02241665
F150078364,151,"Outside rubbish, trash or waste fire","1500 BLOCK ECKERT, PITTSBURGH PA 15212",2015-10-04T19:37:51,0,231EN35,NA,Marshall-Shadeland,1,27,42003271500,1,27,1,14-Jan,40.47143042,-80.03374978
F160080846,154,Dumpster or other outside trash receptacle fire,"00 BLOCK ALLEGHENY AVE, PITTSBURGH PA 15212",2016-10-10T11:02:13,0,231EN37,2108,North Shore,1,22,42003980600,6,22,1,8-Jan,40.44684983,-80.01740489
F160080928,154,Dumpster or other outside trash receptacle fire,"WOOD ST & 5TH AVE, PITTSBURGH PA 15222",2016-10-10T15:01:59,0,231EN03,201,Central Business District,6,2,42003020100,6,2,2,3-Jan,40.44073949,-80.000391
F160080985,143,Grass fire,"2000 BLOCK LEY ST, PITTSBURGH PA 15212",2016-10-10T18:18:32,0,231EN32,2406,Troy Hill,1,24,42003240600,1,24,1,2-Jan,40.4678888,-79.9803732
F160081138,113,"Cooking fire, confined to container","2200 BLOCK WIGHTMAN ST, PITTSBURGH PA 15217",2016-10-11T10:13:54,1,231EN18,1413,Squirrel Hill South,5,14,42003141300,3,14,4,21-Feb,40.43084138,-79.92766875
F160081251,111,Building fire,"500 BLOCK SHELBOURNE AVE, WILKINSBURG PA 15221",2016-10-11T16:25:10,1,231EN16,NA,,,,42003561500,,,,21-Mar,40.43674625,-79.86966718
F160081253,111,Building fire,"1200 BLOCK MONTEREY ST, PITTSBURGH PA 15212",2016-10-11T16:32:16,1,231EN37,2206,Central Northside,1,22,42003220600,1,22,1,21-Jan,40.4549987,-80.01260827
F160081360,151,"Outside rubbish, trash or waste fire","200 BLOCK CHARLES ST, PITTSBURGH PA 15210",2016-10-12T01:59:16,0,231EN22,3001,Knoxville,3,30,42003300100,4,30,3,6-Apr,40.41645511,-79.99074239
F160081576,131,Passenger vehicle fire,"6500 BLOCK 5TH AVE, PITTSBURGH PA 15232",2016-10-12T18:05:22,0,231EN08,708,Point Breeze,8,14,42003140400,3,14,4,17-Feb,40.45324031,-79.91769213
F160081597,151,"Outside rubbish, trash or waste fire","1300 BLOCK SOUTHSIDE AVE, PITTSBURGH PA 15212",2016-10-12T19:26:44,0,231EN32,2620,Spring Hill-City View,1,26,42003262000,1,26,1,11-Jan,40.47036353,-79.99436819
F140071486,111,Building fire,"MARKET SQ & MARKET ST, PITTSBURGH PA 15219",2014-10-04T11:10:30,2,231EN37,201,Central Business District,6,2,42003020100,6,2,2,4-Jan,40.44094209,-80.00239505
F150079325,130,"Mobile property (vehicle) fire, Other","ORPHAN ST & LARIMER AVE, PITTSBURGH PA 15206",2015-10-08T03:47:50,0,231EN15,1204,Larimer,9,12,42003120400,2,12,5,12-Mar,40.46689442,-79.91041097
F160081716,113,"Cooking fire, confined to container","5200 BLOCK NATRONA WAY, PITTSBURGH PA 15201",2016-10-13T09:17:24,1,231EN06,1011,Upper Lawrenceville,7,10,42003101100,2,10,2,5-Mar,40.47958977,-79.95317853
F160081885,111,Building fire,"4900 BLOCK GLOSTER ST, PITTSBURGH PA 15207",2016-10-13T18:09:57,1,231EN13,1501,Hazelwood,5,15,42003562900,3,15,4,13-Feb,40.40843212,-79.94465879
F160082218,131,Passenger vehicle fire,"200 BLOCK LOMBARD ST, PITTSBURGH PA 15219",2016-10-14T20:36:53,0,231EN04,305,Crawford-Roberts,6,3,42003030500,3,3,2,1-Feb,40.43946026,-79.97875377
F160082306,111,Building fire,"500 BLOCK INDUSTRY ST, PITTSBURGH PA 15210",2016-10-15T08:30:22,1,231EN27,1809,Beltzhoover,3,18,42003562400,4,18,3,21-Apr,40.42065083,-79.99885189
F160082699,151,"Outside rubbish, trash or waste fire","900 BLOCK WOODLOW ST, PITTSBURGH PA 15205",2016-10-16T15:48:15,0,231EN30,2814,Crafton Heights,2,28,42003281400,5,28,6,17-Jan,40.44589982,-80.05220414
F140071510,113,"Cooking fire, confined to container","7100 BLOCK IDLEWILD ST, PITTSBURGH PA 15208",2014-10-04T13:16:40,1,231EN17,1302,Homewood North,9,13,42003130200,2,13,5,17-Mar,40.45861447,-79.8981779
F150079627,140,"Natural vegetation fire, Other","BRIGHTON RD & PERROTT AVE, PITTSBURGH PA 15212",2015-10-08T22:34:47,0,231EN35,2701,Brighton Heights,1,27,42003270100,1,27,1,14-Jan,40.48759244,-80.04069981
F160082752,113,"Cooking fire, confined to container","2100 BLOCK PARK HILL DR, PITTSBURGH PA 15221",2016-10-16T19:18:49,1,231EN16,1306,East Hills,9,13,42003130600,2,13,5,19-Mar,40.45295266,-79.8740214
F150083927,151,"Outside rubbish, trash or waste fire","400 BLOCK N BEATTY ST, PITTSBURGH PA 15206",2015-10-23T19:50:55,0,231EN08,1115,East Liberty,9,11,42003111500,2,11,5,8-Mar,40.4652435,-79.92482445
F140072611,151,"Outside rubbish, trash or waste fire","MARLBORO AVE & TRAYMORE AVE, PITTSBURGH PA 15221",2014-10-08T19:14:40,0,231EN16,NA,,,,42003561500,,,,21-Mar,40.43635829,-79.87102017
F150084055,142,Brush or brush-and-grass mixture fire,"00 BLOCK GREENFIELD BRG, PITTSBURGH PA 15217",2015-10-24T10:44:55,0,231EN18,1413,Squirrel Hill South,5,14,42003980500,3,14,4,21-Feb,40.43263457,-79.93766451
F150084271,151,"Outside rubbish, trash or waste fire","200 BLOCK SALINE ST, PITTSBURGH PA 15207",2015-10-25T07:14:07,0,231EN12,1516,Greenfield,5,15,42003151600,3,15,4,12-Feb,40.42686733,-79.94949008
F150084354,111,Building fire,"400 BLOCK SUNCREST ST, PITTSBURGH PA 15210",2015-10-25T14:47:15,1,231EN24,3001,Knoxville,3,30,42003300100,4,30,3,7-Apr,40.41118154,-79.99498903
F150084540,123,"Fire in portable building, fixed location","00 BLOCK CUTHBERT ST, PITTSBURGH PA 15211",2015-10-26T11:50:15,1,231EN27,1914,Mount Washington,2,19,42003191400,5,19,3,27-Apr,40.42984017,-80.00888056
F150084703,154,Dumpster or other outside trash receptacle fire,"100 BLOCK BEAM WAY, PITTSBURGH PA 15211",2015-10-27T03:01:43,0,231EN27,1914,Mount Washington,2,19,42003191400,5,19,3,27-Apr,40.43021641,-80.00740057
F150084704,150,"Outside rubbish fire, Other","TRELONA WAY & CASTLEGATE AV, PITTSBURGH PA 15226",2015-10-27T03:22:00,0,231EN26,1918,Brookline,4,19,42003191800,4,19,6,26-Apr,40.39451845,-80.02195374
F150084784,111,Building fire,"2300 BLOCK GROVELAND ST, PITTSBURGH PA 15210",2015-10-27T11:03:24,1,231EN26,3207,Overbrook,4,32,42003320700,4,32,3,25-Apr,40.38582016,-80.00191526
F150084932,131,Passenger vehicle fire,"600 BLOCK WINFIELD ST, PITTSBURGH PA 15206",2015-10-27T21:56:57,0,231EN15,1204,Larimer,9,12,42003120400,2,12,5,12-Mar,40.46394949,-79.90976987
F150085115,131,Passenger vehicle fire,"7800 BLOCK TIOGA ST, PITTSBURGH PA 15221",2015-10-28T13:22:24,0,2314114,1304,Homewood South,9,13,42003130400,2,13,5,17-Mar,40.45008414,-79.88794539
F140053283,113,"Cooking fire, confined to container","4500 BLOCK MAPLEDALE DR, PITTSBURGH PA 15120",2014-07-26T07:26:40,1,231EN20,3103,New Homestead,5,31,42003310300,3,31,4,20-Apr,40.38578566,-79.91743621
F130055899,131,Passenger vehicle fire,"400 BLOCK BAUSMAN ST, PITTSBURGH PA 15210",2013-08-04T00:51:28,0,231EN23,3001,Knoxville,3,30,42003300100,4,30,3,7-Apr,40.41418583,-79.99504209
F130080305,116,"Fuel burner/boiler malfunction, fire confined","1400 BLOCK LOCUST ST, PITTSBURGH PA 15219",2013-11-08T10:54:05,1,231EN03,103,Bluff,6,1,42003010300,3,1,2,4-Feb,40.43603601,-79.98545539
F130080324,113,"Cooking fire, confined to container","300 BLOCK 39TH ST, PITTSBURGH PA 15201",2013-11-08T11:46:52,1,231EN06,603,Lower Lawrenceville,7,6,42003060300,2,6,2,3-Mar,40.46508187,-79.96093844
F130080356,154,Dumpster or other outside trash receptacle fire,"9TH BLOCK ST & PENN AVE, PITTSBURGH PA 15222",2013-11-08T13:58:47,0,231EN03,201,Central Business District,6,2,42003020100,6,2,2,3-Jan,40.44374282,-79.99834465
F130080416,112,Fires in structure other than in a building,"700 BLOCK 2ND AVE, PITTSBURGH PA 15219",2013-11-08T18:17:05,1,231EN04,103,Bluff,6,1,42003010300,6,1,2,4-Feb,40.43526818,-79.99439768
F130080628,143,Grass fire,"300 BLOCK MT PLEASANT RD, PITTSBURGH PA 15214",2013-11-09T16:51:48,0,231EN38,2609,Northview Heights,1,26,42003260900,1,26,1,13-Jan,40.48235135,-80.00304348
F150085388,113,"Cooking fire, confined to container","00 BLOCK MILLBRIDGE ST, PITTSBURGH PA 15210",2015-10-29T12:16:20,1,231EN27,1803,Allentown,3,18,42003180300,4,18,3,5-Apr,40.42419719,-79.99579903
F150085448,100,"Fire, Other","2400 BLOCK SHADY AVE, PITTSBURGH PA 15217",2015-10-29T14:05:37,0,231EN18,1408,Squirrel Hill South,5,14,42003140800,3,14,4,21-Feb,40.43002809,-79.92063357
F150085641,113,"Cooking fire, confined to container","300 BLOCK MCKEE PL, PITTSBURGH PA 15213",2015-10-30T02:06:16,1,231EN04,405,Central Oakland,3,4,42003040500,3,4,4,14-Feb,40.43830859,-79.95771857
F150085646,131,Passenger vehicle fire,"1800 BLOCK ALLEGHENY RIVER BLVD, PITTSBURGH PA 15206",2015-10-30T02:50:03,1,231EN15,1201,Lincoln-Lemington-Belmar,9,12,42003980100,2,12,5,15-Mar,40.48396049,-79.9072255
F130031069,142,Brush or brush-and-grass mixture fire,"4000 BLOCK SWANSON ST, PITTSBURGH PA 15214",2013-05-07T14:28:50,0,231EN34,2602,Perry North,1,26,42003260200,1,26,1,15-Jan,40.49175387,-80.0172848
F130031127,113,"Cooking fire, confined to container","200 BLOCK E AGNEW ST, PITTSBURGH PA 15210",2013-05-07T18:44:36,1,231EN23,2902,Carrick,4,29,42003290200,4,29,3,12-Apr,40.3957271,-79.98438308
F150085791,140,"Natural vegetation fire, Other","DECATUR ST & MANHATTAN ST, PITTSBURGH PA 15233",2015-10-30T14:50:12,0,231EN37,2107,Manchester,6,21,42003210700,1,21,1,8-Jan,40.45542861,-80.02678515
F150085887,131,Passenger vehicle fire,"16TH BLOCK ST & LIBERTY AVE, PITTSBURGH PA 15222",2015-10-30T21:51:29,0,231EN03,203,Strip District,7,2,42003020300,6,2,2,3-Feb,40.44822122,-79.98688987
F150085893,111,Building fire,"800 BLOCK E WARRINGTON AVE, PITTSBURGH PA 15210",2015-10-30T22:30:54,1,231EN27,1803,Allentown,3,18,42003180300,4,18,3,6-Apr,40.42153188,-79.99357756
F150085956,113,"Cooking fire, confined to container","800 BLOCK E WARRINGTON AVE, PITTSBURGH PA 15211",2015-10-31T07:00:09,1,231EN27,1803,Allentown,3,18,42003180300,4,18,3,6-Apr,40.42153188,-79.99357756
F150085967,113,"Cooking fire, confined to container","4600 BLOCK PENN AVE, PITTSBURGH PA 15224",2015-10-31T08:06:40,1,231EN06,903,Bloomfield,7,9,42003090300,2,9,5,6-Mar,40.46573075,-79.94946421
F150085973,113,"Cooking fire, confined to container","2400 BLOCK ALLEQUIPPA ST, PITTSBURGH PA 15213",2015-10-31T08:13:01,1,231EN10,510,West Oakland,6,4,42003040200,3,4,4,10-Feb,40.44279175,-79.96568994
F150086073,113,"Cooking fire, confined to container","1800 BLOCK WINHURST ST, PITTSBURGH PA 15212",2015-10-31T18:05:26,1,231EN35,2701,Brighton Heights,1,27,42003270100,1,27,1,14-Jan,40.48878834,-80.0436401
F140053407,113,"Cooking fire, confined to container","100 BLOCK FEDERAL ST, PITTSBURGH PA 15212",2014-07-26T16:32:48,1,231EN37,2205,North Shore,1,22,42003563200,6,22,1,20-Jan,40.44779138,-80.00376367
F150086075,113,"Cooking fire, confined to container","400 BLOCK GREENFIELD AVE, PITTSBURGH PA 15207",2015-10-31T18:13:17,1,231EN12,1516,Greenfield,5,15,42003151600,3,15,4,12-Feb,40.42514631,-79.94374638
F150086080,111,Building fire,"1600 BLOCK WESLEY ST, PITTSBURGH PA 15221",2015-10-31T18:38:59,1,231EN16,NA,,,,42003561400,,,,20-Mar,40.4449456,-79.86965852
F150086101,154,Dumpster or other outside trash receptacle fire,"PARKLANE DR & N LANG AVE, PITTSBURGH PA 15235",2015-10-31T20:21:57,0,231EN17,1303,Homewood South,9,13,42003130300,2,13,5,17-Mar,40.45464192,-79.89999341
F160082989,130,"Mobile property (vehicle) fire, Other","1800 BLOCK MONTIER ST, WILKINSBURG PA 15221",2016-10-17T15:33:33,0,231EN16,NA,,,,42003561400,,,,20-Mar,40.44720128,-79.869508
F150086314,154,Dumpster or other outside trash receptacle fire,"7100 BLOCK HAMILTON AVE, PITTSBURGH PA 15208",2015-11-01T17:31:37,0,231EN17,1303,Homewood South,9,13,42003130300,2,13,5,17-Mar,40.45480539,-79.89936147
F150086426,131,Passenger vehicle fire,"5TH BLOCK AVE & WOOD ST, PITTSBURGH PA 15222",2015-11-02T07:32:07,0,231EN03,201,Central Business District,6,2,42003020100,6,2,2,3-Jan,40.44073949,-80.000391
F150086591,118,"Trash or rubbish fire, contained","100 BLOCK RHINE PL, PITTSBURGH PA 15219",2015-11-02T18:03:00,1,231EN38,2620,Spring Hill-City View,1,26,42003262000,1,26,1,11-Jan,40.4667862,-79.99409859
F150086691,111,Building fire,"1100 BLOCK LARIMER AVE, PITTSBURGH PA 15206",2015-11-03T07:31:10,1,231EN08,1203,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,15-Mar,40.467811,-79.90711618
F130027013,151,"Outside rubbish, trash or waste fire","7200 BLOCK RACE ST, PITTSBURGH PA 15221",2013-04-20T23:03:47,0,231EN17,1302,Homewood North,9,13,42003130200,2,13,5,17-Mar,40.45877713,-79.8956906
